"Employees","Monthly_Profit","Credit_History","Customers","Export_Abroad","Loan_Amount","Payment_Terms","Gender","Education","Married","Spouse_Income","Request_Approved"
"1",2014,"1","Large","No",113,360,"Male","Graduate","Yes",2925,"N"
"0",1800,"0","Large","No",93,360,"Male","Not Graduate","Yes",2934,"N"
"0",2875,"1","Medium","No",105,360,"Male","Not Graduate","Yes",1750,"Y"
"0",5000,"1","Small","No",132,360,"Female","Graduate","No",0,"Y"
"1",1625,"1","Large","No",96,360,"Male","Graduate","Yes",1803,"Y"
"0",4000,"1","Small","No",140,360,"Male","Graduate","No",2500,"Y"
"0",2000,"1","Large","No",147.534907597536,360,"Male","Not Graduate","No",0,"N"
"0",3762,"1","Small","No",135,360,"Female","Graduate","No",1666,"Y"
"0",2400,"0","Large","No",104,360,"Female","Graduate","No",1863,"N"
"0",20233,"1","Small","No",480,360,"Male","Graduate","No",0,"N"
"2",7667,"1","Small","No",185,360,"Male","Not Graduate","Yes",0,"Y"
"0",2917,"1","Medium","No",84,360,"Female","Graduate","No",0,"Y"
"0",2927,"1","Medium","No",111,360,"Male","Not Graduate","No",2405,"Y"
"0",2507,"1","Small","No",56,360,"Female","Graduate","No",0,"Y"
"2",5746,"1","Small","Yes",144,84,"Male","Graduate","Yes",0,"Y"
"0",2473,"1","Small","No",159,360,"Male","Graduate","Yes",1843,"N"
"1",3399,"1","Large","No",111,180,"Male","Not Graduate","Yes",1640,"Y"
"2",3717,"1","Medium","No",120,360,"Male","Graduate","Yes",0,"Y"
"0",2058,"1","Large","No",88,360,"Male","Graduate","Yes",2134,"Y"
"1",3541,"1","Medium","No",112,360,"Female","Graduate","No",0,"Y"
"1",10000,"1","Small","Yes",155,360,"Male","Graduate","Yes",0,"N"
"0",2400,"1","Medium","No",115,360,"Male","Graduate","Yes",2167,"Y"
"3+",4342,"1","Medium","No",124,360,"Male","Graduate","Yes",189,"Y"
"2",3601,"1","Small","No",147.534907597536,360,"Male","Not Graduate","Yes",1590,"Y"
"0",3166,"1","Small","No",132,360,"Female","Graduate","No",2985,"Y"
"3+",15000,"1","Small","No",300,360,"Male","Graduate","Yes",0,"Y"
"1",8666,"0","Small","Yes",376,360,"Male","Graduate","Yes",4983,"N"
"0",4917,"0","Small","No",130,360,"Male","Graduate","No",0,"Y"
"0",5818,"1","Medium","Yes",184,360,"Male","Graduate","Yes",2160,"Y"
"0",4333,"1","Large","No",110,360,"Female","Graduate","Yes",2451,"N"
"0",2500,"1","Large","No",67,360,"Female","Graduate","No",0,"Y"
"1",4384,"1","Large","No",117,360,"Male","Graduate","No",1793,"Y"
"0",2935,"1","Medium","No",98,360,"Male","Graduate","No",0,"Y"
"0",2833,"1","Large","No",71,360,"Male","Graduate","No",0,"Y"
"0",63337,"1","Large","No",490,180,"Male","Graduate","Yes",0,"Y"
"1",9833,"1","Large","Yes",182,180,"Male","Graduate","Yes",1833,"Y"
"0",5503,"1","Medium","Yes",70,341.410334346505,"Male","Graduate","Yes",4490,"Y"
"1",5250,"1","Small","No",160,360,"Male","Graduate","Yes",688,"Y"
"2",2500,"1","Small","Yes",176,360,"Male","Graduate","Yes",4600,"Y"
"3+",1830,"0","Large","No",147.534907597536,360,"Female","Not Graduate","No",0,"N"
"0",4160,"1","Medium","No",71,360,"Female","Graduate","No",0,"Y"
"3+",2647,"1","Small","No",173,360,"Male","Not Graduate","Yes",1587,"N"
"0",2378,"1","Small","No",46,360,"Female","Graduate","No",0,"N"
"1",4554,"1","Large","No",158,360,"Male","Not Graduate","Yes",1229,"Y"
"3+",3173,"1","Medium","No",74,360,"Male","Not Graduate","Yes",0,"Y"
"2",2583,"1","Small","No",125,360,"Male","Graduate","Yes",2330,"Y"
"0",2499,"1","Medium","No",160,360,"Male","Graduate","Yes",2458,"Y"
"0",3523,"0","Small","No",152,360,"Male","Not Graduate","Yes",3230,"N"
"2",3083,"1","Large","No",126,360,"Male","Not Graduate","Yes",2168,"Y"
"0",6333,"1","Medium","No",259,360,"Male","Graduate","Yes",4583,"Y"
"0",2625,"1","Small","No",187,360,"Male","Graduate","Yes",6250,"Y"
"0",9083,"1","Medium","No",228,360,"Male","Graduate","Yes",0,"Y"
"0",8750,"1","Small","No",308,360,"Male","Graduate","No",4167,"N"
"3+",2666,"1","Small","No",95,360,"Male","Graduate","Yes",2083,"Y"
"0",5500,"0","Small","Yes",105,360,"Female","Graduate","Yes",0,"N"
"0",2423,"1","Medium","No",130,360,"Female","Graduate","Yes",505,"Y"
"0",3813,"1","Large","No",116,180,"Female","Graduate","No",0,"Y"
"2",8333,"1","Small","No",165,360,"Male","Graduate","Yes",3167,"Y"
"1",3875,"1","Large","No",67,360,"Male","Graduate","Yes",0,"N"
"0",3000,"0","Large","No",100,480,"Male","Not Graduate","Yes",1666,"N"
"3+",5167,"1","Medium","No",200,360,"Male","Graduate","Yes",3167,"Y"
"1",4723,"1","Medium","No",81,360,"Female","Graduate","No",0,"N"
"2",5000,"1","Medium","No",236,360,"Male","Graduate","Yes",3667,"Y"
"0",4750,"1","Large","No",130,360,"Male","Graduate","Yes",2333,"Y"
"0",3013,"1","Large","No",95,300,"Male","Graduate","Yes",3033,"Y"
"0",6822,"1","Small","Yes",141,360,"Male","Graduate","No",0,"Y"
"0",6216,"1","Small","No",133,360,"Male","Not Graduate","No",0,"N"
"0",2500,"1","Medium","No",96,480,"Male","Graduate","No",0,"N"
"0",5124,"0","Small","No",124,341.410334346505,"Male","Graduate","No",0,"N"
"1",6325,"1","Medium","No",175,360,"Male","Graduate","Yes",0,"Y"
"0",19730,"1","Small","No",570,360,"Male","Graduate","Yes",5266,"N"
"0",15759,"1","Medium","Yes",55,360,"Female","Graduate","No",0,"Y"
"2",5185,"1","Medium","No",155,360,"Male","Graduate","Yes",0,"Y"
"2",9323,"1","Small","Yes",380,300,"Male","Graduate","Yes",7873,"Y"
"1",3062,"0","Large","No",111,180,"Male","Graduate","No",1987,"N"
"0",2764,"1","Large","No",110,360,"Female","Graduate","No",1459,"Y"
"0",4817,"1","Large","No",120,180,"Male","Graduate","Yes",923,"Y"
"3+",8750,"1","Small","No",130,360,"Male","Graduate","Yes",4996,"Y"
"0",4310,"1","Medium","No",130,360,"Male","Graduate","Yes",0,"Y"
